,Music1,Music2,Distance
105,7 Rings,Rolling in the Deep,19.7399321089324
106,7 Rings,Rudolph the Red-Nosed Reindeer,40.07760344990851
107,7 Rings,See You Again,53.46064002085819
108,7 Rings,Shape of You,25.82540499697108
109,7 Rings,Silent Night,36.90993413138004
110,7 Rings,Somebody That I Used to Know,23.568249063218964
111,7 Rings,Something Just Like This,46.861478074098294
112,7 Rings,Sugar,34.03763182006236
113,7 Rings,Sukiyaki,22.17112509614138
114,7 Rings,Sweet Mother,85.92488712786147
115,7 Rings,Tennessee Waltz,61.78839692331986
116,7 Rings,The Last Farewell,98.67305697084292
117,7 Rings,Thinking Out Loud,25.986371917170196
118,7 Rings,Thrift Shop,26.366193671607473
119,7 Rings,Un-Break My Heart,24.246032352031875
120,7 Rings,Uptown Funk,23.697733009097846
121,7 Rings,Wabash Cannonball,49.42661932234299
122,7 Rings,Waka Waka (This Time for Africa),20.99871490401708
123,7 Rings,We Are the World,34.47153689535626
124,7 Rings,Y.M.C.A.,123.23710843779529
125,7 Rings,"Yes Sir, I Can Boogie",55.340856686342235
126,7 Rings,You're the One That I Want,33.527329901965246
127,A Whiter Shade of Pale,All About That Bass,18.24302602963595
128,A Whiter Shade of Pale,All I Want for Christmas Is You,34.92537637032392
129,A Whiter Shade of Pale,Bad Romance,9.328743529539281
130,A Whiter Shade of Pale,Bei Mir Bist Du Schön,257.34936434247703
131,A Whiter Shade of Pale,Blurred Lines,10.858378741540704
132,A Whiter Shade of Pale,Call Me Maybe,9.86406396672424
133,A Whiter Shade of Pale,Chirpy Chirpy Cheep Cheep,77.57413700064583
134,A Whiter Shade of Pale,Dance Monkey,24.72816726688825
135,A Whiter Shade of Pale,Despacito,19.959249721780484
136,A Whiter Shade of Pale,Earth Angel,46.33336239119593
137,A Whiter Shade of Pale,Fernando,83.94354446598821
138,A Whiter Shade of Pale,Gangnam Style,17.49391334371156
139,A Whiter Shade of Pale,Girls Like You,65.60839368034506
140,A Whiter Shade of Pale,Grenade,22.148457311861726
141,A Whiter Shade of Pale,Havana,18.206391494978472
142,A Whiter Shade of Pale,Hips Don't Lie,18.088093057540682
143,A Whiter Shade of Pale,I Took a Pill in Ibiza,27.258080572807078
144,A Whiter Shade of Pale,I Want to Hold Your Hand,14.635499668871535
145,A Whiter Shade of Pale,I Will Always Love You,16.002585932606355
146,A Whiter Shade of Pale,I'm a Believer,15.111703979733525
147,A Whiter Shade of Pale,If I Didn't Care,104.21841808395797
148,A Whiter Shade of Pale,In the Summertime,94.0708848786558
149,A Whiter Shade of Pale,Kung Fu Fighting,20.900429700919286
150,A Whiter Shade of Pale,Lean On,26.856891389945996
151,A Whiter Shade of Pale,Let It Go,92.22810514138267
152,A Whiter Shade of Pale,Love Me like You Do,15.378072783114959
153,A Whiter Shade of Pale,Love on the Brain,68.7420936726498
