,links
0,Borderland
1,Talk:Borderlands
2,Wikipedia:Mainspace
3,Wikipedia:NOTBROKEN
4,Template:R from modification
5,Template:R from plural
6,Template:R to disambiguation page
7,Template:R to singular
8,Category:Redirects from ambiguous terms
9,Category:Redirects from plurals
