,links
0,Activision
1,Activision O2
2,Alien (franchise)
3,Aliens: Colonial Marines
4,Aliens Infestation
5,Bam Margera
6,Battleborn (video game)
7,Beenox
8,Borderlands: The Handsome Collection
9,Borderlands: The Pre-Sequel
10,Borderlands (film)
11,Borderlands (series)
12,Borderlands (video game)
13,Borderlands 2
14,Borderlands 3
15,Brothers in Arms: D-Day
16,Brothers in Arms: Double Time
17,Brothers in Arms: Earned in Blood
18,Brothers in Arms: Furious 4
19,Brothers in Arms: Hell's Highway
20,Brothers in Arms: Road to Hill 30
21,Brothers in Arms (video game series)
22,Bulletstorm
23,CBS Interactive
24,Computing platform
25,Console game
26,Counter-Strike: Condition Zero
27,Cryptic Studios
28,Darth Maul
29,Disney's Extreme Skate Adventure
30,Doom Guy
31,Duke Nukem
32,Duke Nukem 3D
33,Duke Nukem Forever
34,Earthfall (video game)
35,Edge of Reality
36,Electronic Entertainment Expo
37,Embracer Group
38,Entertainment and Leisure Software Publishers Association
39,Eurogamer
40,Europe
41,Future US
42,Gamasutra
43,GameCube
44,GameRevolution
45,GameSpot
46,Game Boy Advance
47,Game Boy Color
48,Game Critics Awards
49,Gearbox Software
50,Godfall
51,Grand Theft Auto III
52,Half-Life: Blue Shift
53,Half-Life: Decay
54,Half-Life: Opposing Force
55,Half-Life (video game)
56,Halo: Combat Evolved
57,Homeworld: Deserts of Kharak
58,Homeworld 3
59,IGN
60,Interactive Achievement Awards
61,Jamie Thomas
62,Jeff Gerstmann
63,Kelly Slater
64,Kelly Slater's Pro Surfer
65,List of video games considered the best
66,Mac OS
67,Macworld
68,Madden NFL 2003
69,Mat Hoffman's Pro BMX
70,Mat Hoffman's Pro BMX 2
71,Metacritic
72,Mick West
73,Microsoft Windows
74,MobyGames
75,Multiplayer video game
76,Neversoft
77,Neverwinter (video game)
78,New Tales from the Borderlands
79,Next Generation (magazine)
80,Nintendo 64
81,North America
82,PlayStation (console)
83,PlayStation 2
84,Randy Pitchford
85,Risk of Rain 2
86,Robomodo
87,Samba de Amigo
88,Screenrant
89,Shaba Games
90,Shaun Palmer
91,Shaun Palmer's Pro Snowboarder
92,Single-player video game
93,Skateboarding
94,Sports game
95,Star Trek Online
96,THUG Pro
97,Tales from the Borderlands
98,Tiny Tina's Wonderlands
99,Tony Hawk
100,Tony Hawk's (series)
101,Tony Hawk's American Sk8land
102,Tony Hawk's American Wasteland
103,Tony Hawk's Downhill Jam
104,Tony Hawk's Motion
105,Tony Hawk's Pro Skater (video game)
106,Tony Hawk's Pro Skater 1 + 2
107,Tony Hawk's Pro Skater 2
108,Tony Hawk's Pro Skater 2x
109,Tony Hawk's Pro Skater 4
110,Tony Hawk's Pro Skater 5
111,Tony Hawk's Pro Skater HD
112,Tony Hawk's Project 8
113,Tony Hawk's Proving Ground
114,Tony Hawk's Shred Session
115,Tony Hawk's Skate Jam
116,Tony Hawk's Underground
117,Tony Hawk's Underground 2
118,Tony Hawk's Underground 2: Remix
119,Tony Hawk: Ride
120,Tony Hawk: Shred
121,Tony Hawk: Vert
122,Tribes of Midgard
123,Trover Saves the Universe
124,Vicarious Visions
125,Video game developer
126,Video game genre
127,Video game programmer
128,Video game publisher
129,Wakeboarding Unleashed Featuring Shaun Murray
130,We Happy Few
131,Wolverine (character)
132,XLink Kai
133,Xbox (console)
134,Template:Cite web
135,Template:Gearbox Software
136,Template:Tony Hawk games
137,Template talk:Gearbox Software
138,Template talk:Tony Hawk games
139,Help:Authority control
140,Category:Articles with BNF identifiers
141,Category:CS1 maint: multiple names: authors list
142,Category:Use mdy dates from August 2021
