,links
0,1-UP Studio
1,1-Up Studio
2,14th British Academy Games Awards
3,2018 Kids' Choice Awards
4,2018 Teen Choice Awards
5,21st Annual D.I.C.E. Awards
6,4Players
7,Achievement (video gaming)
8,Action-adventure
9,Action-adventure game
10,Amazon (company)
11,Amiibo
12,Anthrophomorphism
13,Ars Technica
14,Assassin's Creed Origins
15,BBC
16,BBC Radio 1
17,Being Inc.
18,Best-selling Switch games
19,Billboard Japan Hot 100
20,Boss (video gaming)
21,Bowser's Fury
22,Bowser (character)
23,Breakfast cereal
24,Broadway theatre
25,CBS Interactive
26,CGI animated
27,Captain Toad: Treasure Tracker
28,Cathedral
29,Computing platform
30,Cooperative play
31,Daily Express
32,Deadline Hollywood
33,Destructoid
34,Digital Trends
35,Disco Elysium
36,Donkey Kong (video game)
37,E!
38,E3
39,E3 2017
40,Easy Allies
41,Edge (magazine)
42,Elden Ring
43,Electronic Gaming Monthly
44,Entertainment Planning & Development
45,Entertainment Tonight
46,Entertainment Weekly
47,Eurogamer
48,Famitsu
49,Forbes
50,Forced marriage
51,Future plc
52,GQ.com
53,Gamasutra
54,GameRevolution
55,GameSpot
56,Game & Watch: Super Mario Bros.
57,Game Critics Awards
58,Game Developers Choice Awards
59,Game Informer
60,Game Revolution
61,GamesIndustry.biz
62,GamesRadar+
63,GamesTM
64,Giant Bomb
65,Golden Joystick Awards
66,Goomba
67,Grand Theft Auto III
68,Grand Theft Auto IV
69,Grand Theft Auto V
70,Halo: Combat Evolved
71,Health (gaming)
72,Hepburn romanization
73,Hide-and-seek
74,High score
75,IGN
76,ISSN (identifier)
77,ITunes
78,Item (gaming)
79,Japanese language
80,Jazz music
81,Joy-Con
82,Kate Higgins
83,Kellogg's
84,Koji Kondo
85,Kotaku
86,Life (gaming)
87,Linear gameplay
88,List of video games considered the best
89,Luigi
90,MBW (identifier)
91,MCV (magazine)
92,Mario
93,Mario (franchise)
94,Metacritic
95,Metroid Prime
96,Minecraft
97,Minigame
98,Moon
99,Motion controls
100,Multiplayer
101,Mushroom Kingdom
102,NFL 2K1
103,NPD Group
104,New Super Luigi U
105,New Super Mario Bros.
106,New Super Mario Bros. 2
107,New Super Mario Bros. U
108,New Super Mario Bros. Wii
109,Nick.com
110,Nintendo
111,Nintendo EPD
112,Nintendo Labo
113,Nintendo Life
114,Nintendo Switch
115,Nintendo eShop
116,OpenCritic
117,Patch (computing)
118,Pauline (Nintendo)
119,Perfect Dark
120,Photographic filters
121,Platform game
122,Pocket Gamer
123,Polygon (website)
124,Princess Peach
125,Red Dead Redemption 2
126,Review aggregator
127,SXSW Gaming Awards
128,Sandbox game
129,Sandbox video game
130,Screenshot
131,Shacknews
132,Shigeru Miyamoto
133,Side-scrolling video game
134,Single-player
135,Sonic the Hedgehog
136,Soulcalibur (video game)
137,South by Southwest
138,Spirit possession
139,Super Mario
140,Super Mario 3D All-Stars
141,Super Mario 3D Land
142,Super Mario 3D World
143,Super Mario 64
144,Super Mario 64 DS
145,Super Mario Advance 4: Super Mario Bros. 3
146,Super Mario All-Stars
147,Super Mario Bros.
148,Super Mario Bros.: The Lost Levels
149,Super Mario Bros. 2
150,Super Mario Bros. 3
151,Super Mario Bros. 35
152,Super Mario Galaxy
153,Super Mario Galaxy 2
154,Super Mario Land
155,Super Mario Land 2: 6 Golden Coins
156,Super Mario Maker
157,Super Mario Maker 2
158,Super Mario Run
159,Super Mario Sunshine
160,Super Mario World
161,Super Princess Peach
162,Swing music
163,The Game Awards 2017
164,The Guardian
165,The Legend of Zelda: A Link Between Worlds
166,The Legend of Zelda: Breath of the Wild
167,The Legend of Zelda: Ocarina of Time
168,The Verge
169,Theme songs
170,Tiara
171,Time (magazine)
172,Tony Hawk's Pro Skater 2
173,Tony Hawk's Pro Skater 3
174,Tyrannosaurus
175,USgamer
176,United States
177,VentureBeat
178,Viacom (2005–present)
179,Video game artist
180,Video game composer
181,Video game creative director
182,Video game designer
183,Video game developer
184,Video game genre
185,Video game producer
186,Video game programmer
187,Video game publisher
188,Video game writer
189,Virtual reality
190,Vox Media
191,Wario Land: Super Mario Land 3
192,What Remains of Edith Finch
193,Yoshi's Island
194,Yoshiaki Koizumi
195,Ziff Davis
196,Wikipedia:Contents/Portals
197,Template:Super Mario
198,Template talk:Super Mario
199,Help:Authority control
200,Category:Articles with MusicBrainz work identifiers
201,Category:Use American English from January 2017
202,Category:Use mdy dates from February 2018
203,Portal:2010s
204,Portal:Video games
