,related titles
0,Grand_Theft_Auto:_Vice_City
1,Rockstar_Games
2,Rockstar_North
3,Grand_Theft_Auto_2
4,Grand_Theft_Auto:_San_Andreas
5,Manhunt_(video_game)
6,Grand_Theft_Auto
7,Grand_Theft_Auto:_Liberty_City_Stories
8,Grand_Theft_Auto_IV
9,Sam_Houser
10,Grand_Theft_Auto:_London_1969
11,Controversies_surrounding_Grand_Theft_Auto_IV
12,Grand_Theft_Auto:_Chinatown_Wars
13,List_of_games_by_Rockstar_Games
14,Grand_Theft_Auto_V
15,Development_of_Grand_Theft_Auto_V
16,Grand_Theft_Auto_Online
17,Controversies_surrounding_Grand_Theft_Auto_V
18,Grand_Theft_Auto:_The_Trilogy_–_The_Definitive_Edition
19,Untitled_Grand_Theft_Auto_game
