,related titles
0,Jak_and_Daxter
1,LittleBigPlanet_(2008_video_game)
2,Media_Molecule
3,Winnie_Waldron
4,LittleBigPlanet_2
5,ModNation_Racers
6,Sackboy
7,List_of_LittleBigPlanet_downloadable_content_packs
8,LittleBigPlanet_(2009_video_game)
9,PlayStation_Vita
10,List_of_LittleBigPlanet_2_downloadable_content_packs
11,Sound_Shapes
12,LittleBigPlanet_PS_Vita
13,LittleBigPlanet_Karting
14,2014_in_video_games
15,PlayStation_All-Stars_Battle_Royale
16,PlayStation_All-Stars_Island
17,LittleBigPlanet_3
18,Dreams_(video_game)
19,Sackboy:_A_Big_Adventure
