,related titles
0,Need_for_Speed
1,The_Precursors
2,Burnout_(video_game)
3,Burnout_3:_Takedown
4,Burnout_2:_Point_of_Impact
5,Burnout_Revenge
6,Test_Drive_Unlimited
7,Castle_Crashers
8,Burnout_Dominator
9,Race_Driver:_Grid
10,Midnight_Club:_Los_Angeles
11,Xbox_360_Wireless_Racing_Wheel
12,List_of_RenderWare_games
13,Burnout_(series)
14,Mafia_II
15,Need_for_Speed:_Hot_Pursuit_(2010_video_game)
16,Burnout_Crash!
17,Need_for_Speed:_Most_Wanted_(2012_video_game)
18,Danger_Zone_(video_game)
19,Three_Fields_Entertainment
