,related titles
0,Heavy_metal
1,Legion
2,Matrix
3,Nemesis_(disambiguation)
4,Prism
5,Chime
6,Artifact
7,Grid
8,Alias
9,Exodus
10,Ace_(disambiguation)
11,Legend_(disambiguation)
12,Wizard
13,Onslaught
14,Apocalypse_(disambiguation)
15,Panic_(disambiguation)
16,Meltdown
17,Technomancy
18,Liver
19,Beast
