,related titles
0,Akuma_(Street_Fighter)
1,Marvel_vs._Capcom
2,Dan_Hibiki
3,Ryu_(Street_Fighter)
4,Balrog_(Street_Fighter)
5,Ken_Masters
6,Super_Street_Fighter_II_Turbo
7,List_of_Street_Fighter_video_games
8,Gouken
9,Makoto_(Street_Fighter)
10,Sheng_Long
11,Street_Fighter_(video_game)
12,Street_Fighter_Alpha
13,Street_Fighter
14,Seth_(Street_Fighter)
15,Super_Street_Fighter_IV
16,Street_Fighter_X_Tekken
17,Capcom_Fighting_Evolution
18,Super_Street_Fighter_IV:_Arcade_Edition
19,Street_Fighter_6
