,related titles
0,Irrational_Games
1,Ken_Levine_(game_developer)
2,BioShock
3,2K_Australia
4,BioShock_2
5,2K_Marin
6,Sander_Cohen
7,Andrew_Ryan_(BioShock)
8,BioShock_(series)
9,Rapture_(BioShock)
10,Characters_of_the_BioShock_series
11,Elizabeth_(BioShock)
12,Development_of_BioShock_Infinite
13,BioShock_Infinite:_Burial_at_Sea
14,Voyager_(video_game)
15,Rod_Fergusson
16,BioShock:_Rapture
17,Lutece_twins
18,Ghost_Story_Games
19,Atlas_(BioShock)
