,related titles
0,BioWare
1,Mass_Effect_(video_game)
2,List_of_Mass_Effect_characters
3,Commander_Shepard
4,Reapers_(Mass_Effect)
5,Mako_(Mass_Effect)
6,Mass_Effect_2
7,Mass_Effect_3
8,List_of_Mass_Effect_media
9,Illusive_Man
10,Kaidan_Alenko
11,Garrus_Vakarian
12,Jack_(Mass_Effect)
13,Tali'Zorah
14,Turian_(Mass_Effect)
15,Mass_Effect:_Andromeda
16,Liara_T'Soni
17,Mass_Effect_Legendary_Edition
18,Universe_of_Mass_Effect
19,Controversies_surrounding_Mass_Effect_3
