,related titles
0,Total_War_(video_game_series)
1,Warcraft_III:_The_Frozen_Throne
2,Relic_Entertainment
3,Battlezone_(1998_video_game)
4,Magic:_The_Gathering_video_games
5,Warcraft_II:_Beyond_the_Dark_Portal
6,Impossible_Creatures
7,Company_of_Heroes_(video_game)
8,Company_of_Heroes:_Opposing_Fronts
9,"Warhammer_40,000:_Dawn_of_War_II"
10,Napoleon:_Total_War
11,Total_War:_Shogun_2
12,Warcraft_II:_Tides_of_Darkness
13,"Warhammer_40,000:_Dawn_of_War_II_–_Retribution"
14,Multiplayer_online_battle_arena
15,Company_of_Heroes_2
16,Total_War:_Warhammer
17,List_of_Relic_Entertainment_games
18,Titanfall
19,Company_of_Heroes_3
