,related titles
0,Ken_Levine_(game_developer)
1,Mass_Effect_(video_game)
2,Big_Daddy_(BioShock)
3,BioShock_2
4,2K_Marin
5,Sander_Cohen
6,Andrew_Ryan_(BioShock)
7,BioShock_(series)
8,Rapture_(BioShock)
9,Characters_of_the_BioShock_series
10,BioShock_Infinite
11,Elizabeth_(BioShock)
12,BioShock_2:_Minerva's_Den
13,Development_of_BioShock_Infinite
14,BioShock_Infinite:_Burial_at_Sea
15,Rod_Fergusson
16,BioShock:_Rapture
17,BioShock:_The_Collection
18,Ghost_Story_Games
19,Atlas_(BioShock)
