,related titles
0,Counter-Strike_(video_game)
1,Source_(game_engine)
2,Steam_(service)
3,Counter-Strike:_Source
4,Counter-Strike:_Condition_Zero
5,Serious_Sam:_The_Second_Encounter
6,Half-Life_2:_Deathmatch
7,Turtle_Rock_Studios
8,Half-Life_(series)
9,List_of_Source_mods
10,List_of_GoldSrc_mods
11,Linux_gaming
12,Counter-Strike_Online
13,Combat_Arms
14,List_of_Valve_games
15,GoldSrc
16,Counter-Strike:_Global_Offensive
17,Hidden_Path_Entertainment
18,Unturned
19,Dust_II
