,related titles
0,Halo:_Combat_Evolved
1,Halo_2
2,Covenant_(Halo)
3,343_Guilty_Spark
4,Flood_(Halo)
5,Master_Chief_(Halo)
6,Gravemind
7,Arbiter_(Halo)
8,Halo_(franchise)
9,List_of_Halo_characters
10,Certain_Affinity
11,Marketing_of_Halo_3
12,Halo_4
13,Halo_3:_ODST
14,Halo_Wars
15,Halo:_Reach
16,Bungie
17,Halo:_Combat_Evolved_Anniversary
18,Halo_5:_Guardians
19,Halo:_The_Master_Chief_Collection
