,related titles
0,Gran_Turismo_(series)
1,Polyphony_Digital
2,Gran_Turismo_3:_A-Spec
3,Gran_Turismo_2
4,Kazunori_Yamauchi
5,TOCA_(series)
6,Gran_Turismo_HD_Concept
7,Le_Mans_24_Hours_video_games
8,Gran_Turismo_(1997_video_game)
9,Gran_Turismo_(2009_video_game)
10,Gran_Turismo_5
11,Gran_Turismo_5_Prologue
12,Gran_Turismo_official_steering_wheel
13,Logitech_Driving_Force_GT
14,GT_by_Citroën
15,Gran_Turismo_6
16,Gran_Turismo_7
17,GT_Academy
18,Gran_Turismo_Sport
19,Gran_Turismo_World_Series
