,related titles
0,Tom_Clancy's_Splinter_Cell_(video_game)
1,Tom_Clancy's_Splinter_Cell:_Pandora_Tomorrow
2,Tom_Clancy's_Splinter_Cell:_Chaos_Theory
3,David_Michaels_(author)
4,Tom_Clancy's_Ghost_Recon
5,Tom_Clancy's_Ghost_Recon_2
6,Tom_Clancy's_Rainbow_Six:_Lockdown
7,Tom_Clancy's_Splinter_Cell:_Double_Agent
8,Sam_Fisher_(Splinter_Cell)
9,Tom_Clancy's_Splinter_Cell:_Essentials
10,Tom_Clancy's_Splinter_Cell:_Conviction
11,Ubisoft_Montreal
12,Mathieu_Ferland
13,Clint_Hocking
14,Ubisoft_Toronto
15,Tom_Clancy's_Splinter_Cell:_Blacklist
16,Tom_Clancy's
17,List_of_Ubisoft_subsidiaries
18,Tom_Clancy's_The_Division_2
19,List_of_Ubisoft_games:_2000–2009
