,related titles
0,Metroid
1,Survival_horror
2,List_of_zombie_video_games
3,Turtle_Rock_Studios
4,Guitar_Hero_II
5,Left_4_Dead
6,List_of_Source_mods
7,Dynasty_Warriors_6
8,Avatar:_The_Game
9,Frank_West_(Dead_Rising)
10,Demon's_Souls
11,Blur_(video_game)
12,Left_4_Dead_(franchise)
13,Gears_of_War_3
14,Alien_Swarm
15,Dead_Frontier
16,Interstellar_Marines
17,Left_4_Dead:_The_Sacrifice
18,Pixel_Force:_Left_4_Dead
19,Dead_Rising
