,related titles
0,Xbox_Game_Studios
1,List_of_best-selling_video_games
2,Markus_Persson
3,Mojang_Studios
4,Jens_Bergensten
5,FortressCraft
6,Terraria
7,Cobalt_(video_game)
8,0x10c
9,Music_of_Minecraft
10,Minecraft:_The_Story_of_Mojang
11,Minecon
12,C418
13,Minecraft:_Story_Mode
14,Minecraft_modding
15,Minecraft_Dungeons
16,Creeper_(Minecraft)
17,Minecraft_server
18,Minecraft_(franchise)
19,Steve_(Minecraft)
