,related titles
0,Tony_Hawk's_Pro_Skater_(video_game)
1,Virtua_Tennis_(video_game)
2,Tony_Hawk's_Underground
3,Tony_Hawk's_Pro_Skater_4
4,Tony_Hawk's_Pro_Skater_3
5,Tony_Hawk's_Underground_2
6,San_Francisco_Rush_2049
7,Ms._Pac-Man_Maze_Madness
8,Dave_Mirra_Freestyle_BMX_(video_game)
9,Tony_Hawk's_American_Sk8land
10,WWF_Attitude
11,Tony_Hawk's_Downhill_Jam
12,Disney's_Extreme_Skate_Adventure
13,Mat_Hoffman's_Pro_BMX
14,Razor_Freestyle_Scooter
15,Tony_Hawk's_(series)
16,Tony_Hawk's_Proving_Ground
17,Jet_Grind_Radio_(Game_Boy_Advance)
18,Spider-Man_(2000_video_game)
19,Tony_Hawk's_Pro_Skater_1_+_2
