,related titles
0,Dead_Rising_(video_game)
1,Turtle_Rock_Studios
2,Gears_of_War_2
3,Dead_Island
4,Dead_Rising_2
5,Call_of_Duty:_World_at_War
6,Resident_Evil_6
7,Left_4_Dead_2
8,Left_4_Dead_(franchise)
9,Call_of_Duty:_Black_Ops
10,Gears_of_War_3
11,Left_4_Dead:_The_Sacrifice
12,State_of_Decay_(video_game)
13,Dying_Light
14,Dead_Rising
15,Call_of_Duty:_Advanced_Warfare
16,The_Walking_Dead_(video_game_series)
17,Call_of_Duty:_Black_Ops_III
18,Undead_Nightmare
19,World_War_Z_(2019_video_game)
