,related titles
0,Megami_Tensei
1,Revelations:_Persona
2,List_of_Megami_Tensei_media
3,Persona_3
4,Persona_2:_Innocent_Sin
5,List_of_Persona_4_characters
6,Persona_(series)
7,Chie_Satonaka
8,List_of_Atlus_games
9,Persona_4:_The_Animation
10,Persona_4_Arena
11,Yu_Narukami
12,Naoto_Shirogane
13,Atlus_USA
14,Persona_4:_Dancing_All_Night
15,Protagonist_(Persona_3)
16,Kanji_Tatsumi
17,Persona_4_Arena_Ultimax
18,Shigenori_Soejima
19,List_of_Megami_Tensei_video_games
