,related titles
0,Stealth_game
1,Castlevania:_Symphony_of_the_Night
2,Shadow_of_the_Colossus
3,Enemy_Zero
4,Tobal_2
5,Fumito_Ueda
6,LocoRoco
7,Jenova_Chen
8,Remote_Play
9,Team_Ico
10,Gran_Turismo_5_Prologue
11,Fat_Princess
12,Demon's_Souls
13,Japan_Studio
14,Bluepoint_Games
15,The_Last_Guardian
16,High-definition_remasters_for_PlayStation_consoles
17,The_Ico_&_Shadow_of_the_Colossus_Collection
18,Shadow_of_the_Colossus_(2018_video_game)
19,Shadow_Hearts
