,related titles
0,Maxis
1,The_Sims_(video_game)
2,SimCity_4
3,Simlish
4,Command_&_Conquer:_Generals
5,The_Sims_3
6,The_Sims_Stories
7,SimCity_4:_Rush_Hour
8,Stuff_packs_for_The_Sims_2
9,SimCity_Societies
10,The_Sims
11,The_Sims_Medieval
12,Stuff_packs_for_The_Sims_3
13,The_Sims_4
14,List_of_Electronic_Arts_games:_2000–2009
15,Game_packs_for_The_Sims_4
16,Expansion_packs_for_The_Sims_4
17,Expansion_packs_for_The_Sims_3
18,Expansion_packs_for_The_Sims
19,Expansion_packs_for_The_Sims_2
