,linkshere
0,Blizzard Entertainment
1,Capcom
2,Pointing device gesture
3,The Legend of Zelda
4,Resident Evil
5,List of fictional felines
6,The Legend of Zelda: Ocarina of Time
7,Mega Man
8,Yoko Shimomura
9,List of fictional rabbits and hares
10,Power Stone (video game)
11,British Academy Games Awards
12,Game Developers Choice Awards
13,Breath of Fire
14,Himiko
15,Xplay
16,Marvel vs. Capcom
17,Yamato
18,Wikipedia:WikiProject Video games
19,1942 (video game)
20,Science Ninja Team Gatchaman
21,Traditional animation
22,Darkstalkers
23,Steel Battalion
24,Fursuit
25,List of video game franchises
26,List of video game musicians
27,List of years in games
28,List of video game developers
29,List of cel-shaded video games
30,Onimusha
31,Cel shading
32,The Tale of the Bamboo Cutter
33,Waka
34,Imperial Regalia of Japan
35,Viewtiful Joe (video game)
36,List of fictional deities
37,Resident Evil 2
38,Akari Kaida
39,List of fictional islands
40,Viewtiful Joe 2
41,Strider (1989 arcade game)
42,Commando (video game)
43,Wikipedia:WikiProject Video games/Featured content
44,Yoshiki Okamoto
45,Flagship (company)
46,Non-photorealistic rendering
47,Keiji Inafune
48,Bionic Commando
49,Portal:Video games
50,User:Pathaugen
51,Ready at Dawn
52,List of Game of the Year awards
53,List of Wii games
54,List of Capcom games
55,Viewtiful Joe: Double Trouble!
56,List of commercial failures in video games
57,Ultraman
58,Clover Studio
59,Daxter (video game)
60,Greatest Hits (PlayStation)
61,Shinji Mikami
62,Alph Lyla
63,Celestial
64,2006 in video games
65,Wikipedia:List of Wikipedians by featured article nominations
66,Talk:List of video game musicians
67,Okami
68,SonSon
69,Viewtiful Joe: Red Hot Rumble
70,Shinkiro
71,大神
72,Red Earth (video game)
73,Ken Steacy
74,SOTA Toys
75,List of books about video games
76,Spike Video Game Awards
77,List of crossovers in video games
78,Capcom Five
79,Rival Schools: United by Fate
80,Shiranui (disambiguation)
81,Talk:Galatea (video game)
82,Talk:Klonoa: Door to Phantomile
83,God Hand
84,Sengoku Basara
85,Seven-Branched Sword
86,Tose (company)
87,Resident Evil: The Umbrella Chronicles
88,Midna
89,Arika
90,Star Gladiator
91,Kai Ken
92,Ace Attorney
93,Yami (disambiguation)
94,Great God
95,List of fictional foxes
96,Wikipedia:Featured articles
97,Wikipedia:Featured articles/sandbox
98,Suleputer
99,User:Feature Historian
100,"Foxes in popular culture, films and literature"
101,Ayaka Hirahara
102,Kamui (disambiguation)
103,Akira Yasuda
104,Portal:Video games/Featured article
105,Kusanagi (disambiguation)
106,File:OkamiNTSCcoverFinal.jpg
107,User:Mattu82
108,List of Ōkami characters
109,User talk:Xylit
110,Talk:Ōkami
111,Ōkami (video game)
112,Wikipedia talk:WikiProject Video games/Archive 18
113,Kaguya
114,11th Satellite Awards
115,Wikipedia:Manual of Style/Video games
116,User:Masem
117,Atsushi Inaba
118,User talk:75.31.175.7
119,Hideki Kamiya
120,Wikipedia:Featured articles promoted in 2007
121,2000s in video games
122,PlatinumGames
123,Japanese wolf
124,User talk:Jakob.kalt
125,Wikipedia:Categories for discussion/Log/2007 March 30
126,User talk:Monsterman8
127,Wikipedia:WikiProject Spam/LinkSearch/mobygames.com
128,List of artworks known in English by a foreign title
129,Wikipedia:WikiProject Spam/LinkSearch/metacritic.com
130,God of War: Chains of Olympus
131,List of phoenixes in popular culture
132,Wikipedia:WikiProject Spam/LinkSearch/Metacritic.com
133,Wikipedia:WikiProject Spam/LinkSearch/Mobygames.com
134,Zack & Wiki: Quest for Barbaros' Treasure
135,2008 in video games
136,Devil May Cry
137,User talk:76.20.29.124
138,Category talk:Female characters in video games
139,Portal:Japan/Selected article
140,Chimera in popular culture
141,Wikipedia:WikiProject Anime and manga/Magazines/Newtype USA/2006
142,User:Vortex Dragon/Games
143,Wikipedia:WikiProject Video games/Reference library/Official Nintendo Magazine
144,Fatal Frame: Mask of the Lunar Eclipse
145,Wikipedia:Wikipedia Signpost/2007-09-24/Features and admins
146,User:Nixeagle/iffyspoilers
147,Yellow Spider (Ōkami)
148,Spider Queen (Ōkami)
149,Godzilla in popular culture
150,Talk:PlatinumGames
151,Tokuro Fujiwara
152,Jun Takeuchi
153,Wikipedia:Peer review/August 2007
154,User:Guyinblack25/Sandbox
155,File:Okami-compare.jpg
156,File:Okami-brush.jpg
157,Wikipedia:Peer review/Ōkami/archive1
158,File:Okami-issun.jpg
159,List of characters in Ōkami
160,Japan Media Arts Festival
161,Wikipedia:Featured article candidates/Featured log/September 2007
162,"Wikipedia:WikiProject Spam/COIReports/2007, Sep 9"
163,User talk:Gekigami
164,Wikipedia:Featured article candidates/Ōkami
165,"Wikipedia:Goings-on/September 23, 2007"
166,List of fictional princesses
167,Wikipedia:Peer review/Ōkami
168,Portal:Video games/Featured article/35
169,MT Framework
170,Talk:Le Petit Tourette
171,Wikipedia:WikiProject Good articles/Project quality task force/Sweeps/Running total
172,Wikipedia:Featured articles in other languages/Spanish
173,Wanyūdō
174,Dark Void
175,User:PiccoloNamek/Okamibox
176,The Best (PlayStation)
177,Devil May Cry (video game)
178,Slant Six Games
179,User:Dr pda/Featured article statistics
180,User:Mizunoryu
181,User:Emijrp/Featured articles list
182,List of VideoGaiden episodes
183,Wikipedia:List of Wikipedians by featured article nominations/2007
184,Talk:The Legend of Zelda/Archive 3
185,Okami wii
186,User:Samurai Cerberus/Sandbox
187,User:BRPXQZME/Minamoto no Yoshitsune
188,Talk:List of commercial failures in video games/Archive 1
189,File:Okami-wii.jpg
190,The Dishwasher: Dead Samurai
191,Wikipedia:WikiProject Video games/1UP Reference Update Task Force
192,List of Okami characters
193,Okami (video game)
194,Wii Freeloader
195,List of characters in Okami
196,User:Kogoro 9 23/Sandbox
197,Yellow Spider (Okami)
198,Spider Queen (Okami)
199,Talk:The Legend of Zelda: Twilight Princess/Archive 6
200,User:Precis-chan
201,LostWinds
202,Prince of Persia (2008 video game)
203,List of games containing time travel
204,Bayonetta (video game)
205,Street Fighter
206,Infinite Space
207,Tatsunoko vs. Capcom: Ultimate All-Stars
208,User talk:STBotI/Archive4
209,List of video game remakes and remastered ports
210,Wikipedia talk:WikiProject Video games/Archive 44
211,User talk:Sammypsammy
212,User:JohnnyMrNinja/vgproj3
213,User:Wiki131wiki/List of Wii games (North America)
214,Portal:Japan/Selected article/30
215,User talk:209.165.179.245
216,Ninetails
217,User:Novil Ariandis/Featured articles with subcategories
218,List of fictional wolves
219,Nagi
220,People of the Sengoku period in popular culture
221,Wikipedia:Wikipedia Signpost/2007-09-24/SPV
222,Capcom Vancouver
223,El Dorado Gate
224,User:Dr pda/List of FAs by citation density
225,User:SelectionBot/0.7/P-4
226,User:SelectionBot/0.7/V-3
227,Wikipedia:WikiProject Video games/Wikipedia 0.7 workshop
228,Okami Piano Arrange
229,Noritaka Funamizu
230,Press Start: Symphony of Games
231,Mojib-Ribbon
232,"Wikipedia:Today's featured article/June 10, 2009"
233,"Wikipedia:Today's featured article/June 11, 2009"
234,"Wikipedia:Today's featured article/June 12, 2009"
235,"Wikipedia:Today's featured article/June 13, 2009"
236,Wikipedia:Today's featured article/June 2009
237,User:BlueWolfheart
238,Ghosts 'n Goblins
239,Wikipedia:WikiProject Video games/Peer review/List of commercial failures in video gaming
240,Wikipedia:0.7/0.7geo/Japan
241,Wikipedia:0.7/0.7geo/Japan-EL
242,Wikipedia:0.7/0.7geo/Japan-Arts
243,Wikipedia:0.7/0.7index/Video games
244,User:Arlir/Okami
245,User talk:TerraHikaru
246,4th British Academy Games Awards
247,Wikipedia:0.7/0.7alpha/Misc1
248,Wikipedia:Featured articles/By length
249,Template:Capcom
250,Three Wolf Moon
251,User talk:Cobi/Archives/2009/June
252,Wikipedia:Wikipedia Signpost/2009-06-15/Features and admins
253,User talk:Garydegary
254,User talk:71.6.70.242
255,Monster Hunter
256,Wikipedia:WikiProject Video games/Newsletter/20090701/News
257,Wikipedia talk:WikiProject Video games/Archive 71
258,Shinto in popular culture
259,Wikipedia talk:Manual of Style/Japan-related articles/Archive 22
260,Ōkamiden
261,Talk:Ōkamiden
262,Ghost Trick: Phantom Detective
263,Wikipedia:WikiProject Albums/Popular pages
264,User:Abryn/Ōkami (Wii)
265,User:Masem/vgrev
266,User:Allen4names/Newtype USA
267,Lost Planet
268,User talk:Anima Sola
269,Template:Ready at Dawn
270,List of dragons in games
271,User talk:Masem/Archive 6
272,Okami (disambiguation)
273,Marvel vs. Capcom 3: Fate of Two Worlds
274,Talk:Marvel vs. Capcom 3: Fate of Two Worlds/Archive 1
275,God of War: Ghost of Sparta
276,El Shaddai: Ascension of the Metatron
277,User talk:Alyo/sandbox/SMAC
278,User:Dorsal Axe/Sandbox
279,Wikipedia:Sockpuppet investigations/Dr90s/Archive
280,High-definition remasters for PlayStation consoles
281,Dota 2
282,Noboru Sugimura
283,Talk:Sega Genesis/Archive 12
284,Wikipedia:0.8/Index/O1
285,Wikipedia:Database reports/Articles containing deleted files/1
286,List of female action heroes and villains
287,Little Battlers Experience
288,User:Blake/SuggestBot
289,User talk:Masem/Archive 7
290,Shu Takumi
291,Wikipedia:WikiProject Spam/LinkReports/s12.gladiatus.com
292,User talk:Tlesher/SuggestBot
293,Wikipedia:Peer review/Copper/archive2
294,Wikipedia:Peer review/April 2011
295,Wikipedia talk:WikiProject Video games/Archive 88
296,Dragon's Dogma
297,User:Allen4names/Newtype USA/2006 4th quarter
298,2012 in video games
299,Wikipedia:WikiProject Video games/Newsletter/20110706/Interview
300,Ultimate Marvel vs. Capcom 3
301,The Art of Video Games
302,Yoshinori Ono (game producer)
303,Wikipedia:Reference desk/Archives/Entertainment/2011 August 5
304,Hiroyuki Kobayashi (producer)
305,User:Aude/Sandbox17
306,Akira Nishitani
307,User:Purplebackpack89/Sandbox
308,Wikipedia:WikiProject Video games/Reviewing pre-2008 FAs
309,Wikipedia:Templates for discussion/Log/2011 December 18
310,List of art games
311,List of fictional dogs in video games
312,Category:Ōkami
313,Talk:New Game Plus/Archive 1
314,User:CapsulateMule/sandbox
315,The Wonderful 101
316,Ōkami HD
317,Okami HD
318,Ökami
319,User:Joeyppeters/Emiliano Rodolfo Rosales-Birou (chuggaaconroy)
320,User:Ninmacer20
321,Remember Me (video game)
322,User:Edgars2007/Missing
323,Wikipedia talk:What Wikipedia is not/Archive 44
324,CEDEC Awards
325,User:VonDoomhammer/sandbox
326,User:Johnsirett/sandbox
327,2017 in video games
328,Final Fight
329,User talk:Masem/Archive 10
330,Wikipedia:Articles for deletion/List of female video game characters by role
331,Wikipedia:Articles for deletion/Log/2012 December 28
332,Wikipedia talk:WikiProject Guild of Copy Editors/Archives/2013
333,Wikipedia:WikiProject Video games/Recognized content
334,User:The ed17/Featured articles by prose size
335,User:The ed17/Featured articles by wiki text
336,Hideaki Itsuno
337,User:Soliloquy259/sandbox
338,User talk:Ost316/Archive 5
339,User:Iamthecheese44/List of fictional princesses Sandbox
340,Amaterasu (Ōkami)
341,Talk:Amaterasu (Ōkami)
342,The Order: 1886
343,Deep Down (video game)
344,Dead Rising
345,Panta Rhei (game engine)
346,Wikipedia talk:WikiProject Television/Archive 17
347,File talk:Grand Theft Auto V combat.jpg
348,Gaist Crusher
349,User:Diego Moya/List of female video game characters by role
350,Wikipedia:Non-free content review/Archive 36
351,List of video games considered the best
352,User talk:PauloAvida
353,Did You Know Gaming?
354,Wikipedia:Files for deletion/2013 December 21
355,User:Czar/VGGF
356,Wikipedia talk:WikiProject Video games/Archive 103
357,List of Capcom games: N–R
358,User:Torchiest/Sandbox/VGQ12014
359,Wikipedia:WikiProject Video games/Newsletter/20140402/Report/FA list
360,Ori and the Blind Forest
361,Scalebound
362,User:CleanupWorklistBot/lists/Featured articles
363,Ohkami
364,User talk:Masem/Archive 13
365,Wikipedia talk:Interviews
366,Mega Man (Archie Comics)
367,Talk:Fire Emblem Fates
368,Capcom Cup
369,Satellite Award for Outstanding Platform Action/Adventure Game
370,User:Ichthyoid/Video game lists
371,User:Masem/1up
372,Dragon's Dogma Online
373,User:B/List of articles with excessive fair use images
374,Final Fantasy Type-0 HD
375,Famitsu scores
376,User:ԱշոտՏՆՂ/sandbox1
377,Monster Hunter Generations
378,User:Ichthyoid/games
379,Wikipedia:Wikipedia Signpost/2009-06-15/SPV
380,Takashi Nishiyama
381,Udon Entertainment
382,User talk:71.200.3.239
383,User talk:108.16.146.103
384,User:Fox/sandbox
385,User talk:Masem/Archive 16
386,List of women in the video game industry
387,God Wars: Future Past
388,User:InflatableSupertrooper/GDCA GOTY
389,Game Developers Choice Award for Game of the Year
390,User:Fox/generatestats
391,Wikipedia:Files for discussion/2016 June 14
392,Dino Crisis
393,"User:DraculavanHelsing/Books/Japanese Yokai, Monsters & Supernatural"
394,"User:DraculavanHelsing/Books/2Japanese Yokai, Monsters & Supernatural"
395,"User:DraculavanHelsing/Books/Japanese Yokai, Monsters & Supernatural N-S"
396,"User:DraculavanHelsing/Books/Japanese Yokai, Monsters & Supernatural N-Q"
397,Wikipedia talk:WikiProject Video games/Archive 124
398,Wikipedia:Files for discussion/2016 September 1
399,User:Acer/Simple4
400,User:Champion/Eubot list 7
401,User:Champion/Eubot list 9
402,User:Champion/Eubot list 10
403,User:Champion/Eubot list 16
404,Cook & Becker
405,User:Tymewalk
406,Kinu Nishimura
407,Deformers
408,User:TParis/Featured Article By Length
409,User:Mizunoryu/Userboxes/Okami
410,Lone Echo
411,List of video games considered artistic
412,User:Slade/sandbox
413,User:PanicWare/sandbox
414,Talk:List of Game of the Year awards/Archive 1
415,Talk:Ukiyo-e/Archive 1
416,User:Ragowit/sandbox/2013
417,User:Ragowit/sandbox
418,User:SQL/FA-Ores
419,User:Amire80/WEIRD/2018-04-02–2018-04-08
420,Template:Hideki Kamiya
421,Draft:Mega Man (film)
422,User talk:ShadowHntr/Archive 3
423,User:Lopullinen/sandbox
424,User talk:DarkToonLink/Archive 14
425,User:Ferret/sandbox/List of Nintendo Switch games 1
426,User talk:Llc.id
427,Rei (given name)
428,Talk:Nuppeppō/Archive 1
429,Sawaki Takeyasu
430,Portal:Video games/Featured content
431,User:New Age Retro Hippie/Ōkami (Wii)
432,User:Major Video game Association/sandbox
433,Major Damage
434,List of PlayStation 2 games (L–Z)
435,Wikipedia talk:Manual of Style/Video games/Archive 5
436,Ikumi Nakamura
437,No More Heroes III
438,Category:Clover Studio games
439,Category:Video games directed by Hideki Kamiya
440,Template:Ōkami
441,Wikipedia:Categories for discussion/Log/2019 August 22
442,Wikipedia:WikiProject Spam/LinkReports/videogamecanon.com
443,Wikipedia:WikiProject Spam/Local/videogamecanon.com
444,Talk:Noita (video game)
445,User:J947/sandbox/8
446,User talk:King of Scorpions/Mentorship
447,Lone Echo II
448,Viewtiful Joe
449,User:ArcAngel/sandbox
450,User:Cuhleef/sandbox
451,User:MurasakiNagisa
452,Portal:The arts/Recognized content
453,Portal:Video games/Recognized content
454,Template:Clover Studio
455,List of Nintendo Switch games (H–P)
456,Teppen
457,Monster Hunter Rise
458,User:Cat's Tuxedo/sandbox
459,Talk:Critical Role (campaign two)
460,User:RexxS/sandbox/testlinks
461,User:SDZeroBot/Featured articles
462,User:Octorock
463,User:Mibble92/sandbox/WBFAN
464,User:Mibble92/sandbox/FAnoms.2007
465,User:Rick Bot/sandbox/FAnoms.2007
466,User:Rick Bot/sandbox/WBFAN
467,User:Rick Bot/sandbox/tmp/FAnoms.2007
468,User:Rick Bot/sandbox/Featured articles
469,Capcom U.S.A. Inc. v. Data East Corp.
470,List of video game soundtracks on music streaming platforms
471,Portal:Music/Recognized content
472,RE Engine
473,Wikipedia:Userboxes/Games/Video games/Other/02
474,User:Y-S.Ko/Wikipedia course/Family
475,Wikipedia:Featured articles in other languages/English
476,Draft:Devil May Cry (upcoming TV series)
477,Wikipedia:Unreviewed featured articles/2020/2004–2009
478,User:MaknaeTaNi
479,User talk:149.22.64.239
480,User:Rlink2/Music 5
481,Wikipedia talk:WikiProject Video games/Archive 161
482,Portal:Record production/Featured articles
483,User:Vultschlange
484,Wikipedia talk:Vital articles/Level/5/Archive 9
485,Draft:List of video game auteurs
