,linkshere
0,Video game
1,Florence
2,Lorenzo de' Medici
3,Niccolò Machiavelli
4,Pope Alexander VI
5,Pope Sixtus IV
6,Courtesan
7,Girolamo Savonarola
8,Masquerade ball
9,Firenze (disambiguation)
10,Iðunn
11,Doge's Palace
12,List of pseudonyms
13,Stealth game
14,Giuliano de' Medici
15,San Gimignano
16,David Kaye (voice actor)
17,Danny Wallace (humorist)
18,Secret history
19,Artabanus of Persia
20,Philip Proctor
21,Bonfire of the vanities
22,Giovanni Villani
23,List of Macintosh games
24,Tomokazu Seki
25,Essentials (PlayStation)
26,Toshiyuki Morikawa
27,List of PlayStation 3 games (A–C)
28,Minerva (disambiguation)
29,San Marco
30,Cam Clarke
31,Michael Gough (voice actor)
32,Passetto di Borgo
33,List of warez groups
34,Kristen Bell
35,Talk:PC game
36,Bartolomeo d'Alviano
37,Caterina Sforza
38,Forlì
39,Greatest Hits (PlayStation)
40,National Entertainment Collectibles Association
41,Roger Rose
42,Jesper Kyd
43,Master Mahan
44,Jade Raymond
45,Eliza Schneider
46,Censorship in Singapore
47,Cultural references to Leonardo da Vinci
48,Chris Edgerly
49,Cultural depictions of Joan of Arc
50,List of novels based on video games
51,Spike Video Game Awards
52,Bruce Joel Rubin
53,List of crossovers in video games
54,Platinum Hits
55,Grimaldi
56,Girolamo Riario
57,Grigori Rasputin in popular culture
58,Giant squid in popular culture
59,Hyrrokkin
60,Antonio
61,Hiroki Tōchi
62,Mark Camacho
63,Maya Okamoto
64,Agostino Barbarigo
65,Marco Barbarigo
66,Fred Tatasciore
67,Kaori Nazuka
68,Assassin's Creed (video game)
69,Nolan North
70,Monteriggioni
71,Elias Toufexis
72,List of assassinations in fiction
73,Holly Gauthier-Frankel
74,Nick Jameson
75,Ubisoft Anvil
76,William Reymond
77,Cultural depictions of Alexander the Great
78,Arthur Holden
79,André Sogliuzzo
80,User talk:81.4.160.2
81,User:Deathtrap3000
82,Vincent Grass
83,User talk:124.189.67.200
84,PlayStation Official Magazine – UK
85,AC2
86,Francesco Salviati (bishop)
87,User:Vortex Dragon/Games
88,Wikipedia:WikiProject Video games/Reference library/Edge
89,Wikipedia:WikiProject Video games/Reference library/Game Informer
90,Wikipedia:WikiProject Video games/Reference library/GamesTM
91,Talk:Parkour in popular culture
92,Prince of Persia
93,Florin (disambiguation)
94,Giovanni Mocenigo
95,Egyptian influence in popular culture
96,Golden Joystick Awards
97,User talk:216.213.209.209
98,Roger Craig Smith
99,Giovanni Tornabuoni
100,The Best (PlayStation)
101,Desmond Miles
102,Assassin's Creed: Altaïr's Chronicles
103,User:Arthur2045
104,List of cultural depictions of Cleopatra
105,2009 in video games
106,Winnie Waldron
107,Margaret Easley
108,User talk:Juzzmeister
109,Venice in media
110,Dante (name)
111,List of video game remakes and remastered ports
112,List of stories set in a future now in the past
113,Patrice Désilets
114,Talk:Cyberpunk derivatives/Archive 2
115,Open world
116,User:GroundZ3R0 002
117,Digital rights management
118,List of fictional atheists and agnostics
119,Wikipedia:Featured articles in other languages/Catalan
120,2010 in video games
121,Assassin's Creed 2
122,Gamescom
123,Sekretagent Productions
124,Corey May
125,User:Silver Sonic Shadow/sandbox
126,User talk:GoneAwayNowAndRetired/Archive 2
127,User talk:JGXenite/Archive/2009
128,User:Paygar/construction site
129,Assassins creed 2
130,Wikipedia:WikiProject Video games/New article announcements/2009
131,Razer Hydra
132,User talk:FearonLordOfTheShoop
133,List of best-selling Xbox 360 video games
134,User talk:Eeekster/Archive
135,User talk:122.165.2.66
136,OnLive
137,List of PlayStation Home Game Spaces
138,User talk:Ost316/Archive 1
139,User talk:76.108.114.111
140,Wikipedia:Deletion review/Log/2009 April 14
141,Wikipedia:Deletion review/Log/2009 April
142,Wikipedia:Administrators' noticeboard/Archive189
143,Template:Assassin's Creed
144,Assassins creed II
145,Assassin creed 2
146,Assassin creed II
147,Talk:Assassin's Creed II
148,Assasins creed 2
